Engine Load(%),Engine RPM(rpm),Vehicle speed(km/h),O2 B1S1 sensor voltage(V),O2 B1S2 sensor voltage(V),beahavior
8.627450999999999,1593,17,0.74,0.63,safe
6.6666667,1495,16,0.2,0.63,safe
8.627450999999999,1468,15,0.38,0.635,safe
8.627450999999999,1477,16,0.875,0.635,safe
6.6666667,1427,15,0.875,0.635,safe
8.627450999999999,1389,14,0.08,0.635,safe
9.8039216,1488,16,0.275,0.635,safe
10.980392,1632,17,0.825,0.64,safe
12.941175999999999,1718,18,0.52,0.64,safe
12.941175999999999,1844,20,0.395,0.64,safe
13.725489999999999,1958,21,0.885,0.64,safe
14.901960999999998,2083,22,0.125,0.64,safe
12.941175999999999,1966,22,0.08,0.635,safe
6.6666667,1396,22,0.765,0.635,safe
8.627450999999999,1413,22,0.075,0.64,safe
8.627450999999999,1437,22,0.86,0.64,safe
7.8431372999999995,1424,22,0.895,0.64,safe
6.6666667,1315,20,0.275,0.645,safe
4.7058824,1200,18,0.545,0.64,safe
3.9215686,922,17,0.885,0.645,safe
3.9215686,1031,16,0.685,0.64,safe
4.7058824,1448,15,0.085,0.645,safe
9.8039216,1527,15,0.1,0.64,safe
11.764706,1536,16,0.195,0.64,safe
10.980392,1712,18,0.885,0.645,safe
7.8431372999999995,1697,18,0.14,0.64,safe
7.8431372999999995,1659,17,0.85,0.645,safe
11.764706,1670,17,0.085,0.645,safe
14.901960999999998,1837,19,0.775,0.645,safe
16.862745,2005,21,0.895,0.645,safe
17.647059,2201,23,0.1,0.645,safe
5.8823529,1642,23,0.925,0.645,safe
11.764706,1476,23,0.065,0.645,safe
11.764706,1549,24,0.685,0.645,safe
7.8431372999999995,1585,24,0.91,0.645,safe
5.8823529,1454,22,0.85,0.65,safe
4.7058824,1191,19,0.11,0.65,safe
3.9215686,951,16,0.915,0.65,safe
3.9215686,1297,13,0.73,0.655,safe
10.980392,1435,14,0.07,0.65,safe
13.725489999999999,1624,17,0.845,0.655,safe
14.901960999999998,1842,20,0.77,0.65,safe
15.686275,2021,21,0.525,0.655,safe
9.8039216,2070,22,0.1,0.655,safe
5.8823529,1983,21,0.92,0.66,safe
8.627450999999999,1930,20,0.185,0.655,safe
7.8431372999999995,1856,19,0.87,0.655,safe
6.6666667,1809,19,0.135,0.655,safe
3.9215686,1632,17,0.935,0.655,safe
5.8823529,1341,14,0.105,0.66,safe
4.7058824,1174,12,0.915,0.66,safe
10.980392,1257,13,0.085,0.66,safe
15.686275,1520,16,0.86,0.66,safe
16.862745,1781,19,0.1,0.665,safe
16.862745,1966,21,0.825,0.665,safe
16.862745,2127,23,0.46,0.66,safe
8.627450999999999,2162,22,0.87,0.665,safe
7.8431372999999995,2024,21,0.105,0.665,safe
8.627450999999999,1949,21,0.86,0.665,safe
8.627450999999999,1855,20,0.08,0.665,safe
6.6666667,1715,18,0.83,0.665,safe
7.8431372999999995,1563,16,0.265,0.67,safe
10.980392,1515,16,0.075,0.665,safe
7.8431372999999995,1506,16,0.9,0.675,safe
7.8431372999999995,1591,17,0.755,0.67,safe
10.980392,1664,17,0.09,0.67,safe
10.980392,1736,18,0.88,0.675,safe
8.627450999999999,1730,18,0.51,0.675,safe
7.8431372999999995,1697,18,0.195,0.68,safe
7.8431372999999995,1599,17,0.625,0.68,safe
12.941175999999999,1637,17,0.155,0.675,safe
