Engine Load(%),Engine RPM(rpm),Intake air temp(C),Abs throttle position(%),O2 B1S2 sensor voltage(V),beahavior
3.9215686,952,37.0,13.333332999999998,0.385,safe
10.980392,974,37.0,23.137255,0.39,safe
14.901960999999998,1315,37.0,21.568627,0.41,safe
15.686275,1601,37.0,15.686275,0.4,safe
17.647059,1806,37.0,16.862745,0.41,safe
18.823529,2027,37.0,9.019607800000001,0.405,safe
7.8431372999999995,1740,37.0,8.235294099999999,0.42,safe
10.980392,1374,37.0,13.333332999999998,0.455,safe
12.941175999999999,1442,37.0,13.333332999999998,0.47,safe
12.941175999999999,1499,37.0,12.941175999999999,0.475,safe
13.725489999999999,1576,37.0,13.333332999999998,0.48,safe
12.941175999999999,1643,37.0,12.941175999999999,0.485,safe
12.941175999999999,1663,37.0,12.156863000000001,0.485,safe
11.764706,1702,37.0,10.196078,0.485,safe
8.627450999999999,1714,37.0,8.627450999999999,0.49,safe
7.8431372999999995,1623,37.0,7.8431372999999995,0.49,safe
6.6666667,1399,37.0,7.0588235,0.49,safe
5.8823529,1058,37.0,6.2745098,0.495,safe
4.7058824,962,37.0,6.6666667,0.495,safe
5.8823529,971,37.0,6.6666667,0.495,safe
5.8823529,1006,37.0,15.294118,0.5,safe
7.8431372999999995,979,37.0,13.333332999999998,0.5,safe
10.980392,1112,37.0,13.333332999999998,0.5,safe
13.725489999999999,1461,37.0,15.294118,0.505,safe
15.686275,1754,37.0,15.686275,0.505,safe
17.647059,2004,37.0,15.294118,0.51,safe
17.647059,2158,37.0,15.686275,0.51,safe
12.941175999999999,1963,37.0,5.0980392,0.51,safe
8.627450999999999,1480,37.0,10.196078,0.515,safe
8.627450999999999,1447,37.0,7.8431372999999995,0.515,safe
6.6666667,1379,37.0,5.8823529,0.52,safe
4.7058824,1216,37.0,5.0980392,0.525,safe
3.9215686,831,37.0,5.0980392,0.53,safe
3.9215686,950,37.0,4.313725499999999,0.535,safe
3.9215686,849,37.0,3.5294117999999997,0.53,safe
4.7058824,767,37.0,12.156863000000001,0.535,safe
10.980392,1093,37.0,18.431373,0.545,safe
13.725489999999999,1406,37.0,14.117647,0.545,safe
14.901960999999998,1644,37.0,11.764706,0.545,safe
9.8039216,1733,37.0,7.8431372999999995,0.545,safe
7.8431372999999995,1618,37.0,6.2745098,0.54,safe
4.7058824,1255,37.0,5.0980392,0.545,safe
3.9215686,1050,37.0,5.4901960999999995,0.55,safe
5.8823529,998,37.0,8.627450999999999,0.545,safe
8.627450999999999,1123,37.0,11.372549000000001,0.545,safe
10.980392,1428,37.0,12.156863000000001,0.545,safe
11.764706,1603,37.0,12.54902,0.545,safe
14.901960999999998,1732,37.0,14.117647,0.545,safe
15.686275,1905,37.0,7.8431372999999995,0.55,safe
6.6666667,1662,37.0,7.450980400000001,0.545,safe
7.8431372999999995,1202,37.0,8.627450999999999,0.555,safe
7.8431372999999995,1273,37.0,9.411764699999999,0.55,safe
8.627450999999999,1270,37.0,8.627450999999999,0.555,safe
6.6666667,1271,37.0,7.450980400000001,0.56,safe
6.6666667,1237,37.0,7.0588235,0.565,safe
6.6666667,1125,37.0,7.0588235,0.57,safe
5.8823529,1047,37.0,6.6666667,0.57,safe
5.8823529,985,37.0,6.6666667,0.57,safe
5.8823529,992,37.0,4.313725499999999,0.57,safe
4.7058824,815,37.0,6.2745098,0.57,safe
7.8431372999999995,903,37.0,21.176471,0.57,safe
12.941175999999999,1216,37.0,19.215685999999998,0.57,safe
14.901960999999998,1524,37.0,13.333332999999998,0.57,safe
14.901960999999998,1736,37.0,13.725489999999999,0.57,safe
15.686275,1891,37.0,12.54902,0.575,safe
12.941175999999999,1973,37.0,11.372549000000001,0.575,safe
11.764706,1987,37.0,11.372549000000001,0.575,safe
11.764706,2008,37.0,7.8431372999999995,0.575,safe
5.8823529,1906,37.0,3.9215686,0.57,safe
7.8431372999999995,1684,37.0,6.6666667,0.57,safe
6.6666667,1524,37.0,7.0588235,0.57,safe
5.8823529,1393,37.0,6.2745098,0.575,safe
4.7058824,1144,37.0,5.0980392,0.575,safe
3.9215686,907,37.0,4.7058824,0.575,safe
3.9215686,935,37.0,11.764706,0.575,safe
7.8431372999999995,817,37.0,13.333332999999998,0.575,safe
10.980392,1182,38.0,11.764706,0.58,safe
11.764706,1471,37.0,12.156863000000001,0.58,safe
12.941175999999999,1610,37.0,11.764706,0.58,safe
11.764706,1714,37.0,9.019607800000001,0.585,safe
8.627450999999999,1665,37.0,7.8431372999999995,0.59,safe
6.6666667,1529,37.0,7.8431372999999995,0.59,safe
6.6666667,1298,37.0,6.6666667,0.59,safe
4.7058824,1077,37.0,6.2745098,0.595,safe
4.7058824,943,37.0,5.8823529,0.595,safe
5.8823529,961,37.0,5.4901960999999995,0.6,safe
4.7058824,949,37.0,5.0980392,0.6,safe
4.7058824,847,37.0,6.2745098,0.605,safe
5.8823529,932,37.0,7.0588235,0.6,safe
6.6666667,1002,37.0,7.450980400000001,0.605,safe
6.6666667,1005,37.0,7.8431372999999995,0.605,safe
6.6666667,1019,37.0,7.450980400000001,0.605,safe
6.6666667,1013,37.0,7.0588235,0.605,safe
10.980392,1552,37.0,13.333332999999998,0.61,safe
10.980392,1168,37.0,13.725489999999999,0.61,safe
15.686275,1893,37.0,7.450980400000001,0.615,safe
5.8823529,1658,37.0,12.156863000000001,0.62,safe
11.764706,1121,37.0,15.686275,0.62,safe
12.941175999999999,1351,38.0,13.725489999999999,0.62,safe
13.725489999999999,1511,37.0,16.078431,0.62,safe
16.862745,1754,37.0,16.470588,0.625,safe
18.823529,2014,37.0,16.470588,0.625,safe
20.0,2201,37.0,16.862745,0.625,safe
10.980392,1920,37.0,9.411764699999999,0.625,safe
14.901960999999998,1563,37.0,16.078431,0.625,safe
16.862745,1682,38.0,16.078431,0.63,safe
16.862745,1769,37.0,16.470588,0.63,safe
17.647059,1891,37.0,16.078431,0.63,safe
17.647059,1978,38.0,16.078431,0.63,safe
18.823529,2054,37.0,16.078431,0.63,safe
18.823529,2168,38.0,16.470588,0.635,safe
18.823529,2245,38.0,16.862745,0.63,safe
20.0,2336,38.0,16.862745,0.635,safe
20.784314000000002,2403,38.0,17.647059,0.63,safe
21.960784,2504,38.0,7.450980400000001,0.63,safe
5.8823529,1649,37.0,12.54902,0.64,safe
13.725489999999999,1857,38.0,12.941175999999999,0.645,safe
15.686275,1867,38.0,15.686275,0.66,safe
16.862745,1917,38.0,14.901960999999998,0.665,safe
15.686275,1930,38.0,14.901960999999998,0.665,safe
16.862745,1984,38.0,14.117647,0.665,safe
14.901960999999998,1990,38.0,13.333332999999998,0.665,safe
13.725489999999999,2018,38.0,11.764706,0.665,safe
11.764706,1998,38.0,11.764706,0.665,safe
11.764706,1996,38.0,11.764706,0.665,safe
12.941175999999999,2006,38.0,12.156863000000001,0.67,safe
12.941175999999999,1996,38.0,12.156863000000001,0.67,safe
12.941175999999999,2006,38.0,12.156863000000001,0.67,safe
12.941175999999999,2018,38.0,12.156863000000001,0.675,safe
12.941175999999999,2017,38.0,12.156863000000001,0.67,safe
12.941175999999999,2018,38.0,12.54902,0.67,safe
13.725489999999999,2033,38.0,12.941175999999999,0.67,safe
13.725489999999999,2043,38.0,12.54902,0.67,safe
13.725489999999999,2048,38.0,12.54902,0.675,safe
13.725489999999999,2057,38.0,12.156863000000001,0.675,safe
11.764706,2055,38.0,11.764706,0.675,safe
12.941175999999999,2060,38.0,11.764706,0.675,safe
12.941175999999999,2039,38.0,11.764706,0.675,safe
12.941175999999999,2052,38.0,12.156863000000001,0.675,safe
12.941175999999999,2045,38.0,12.54902,0.675,safe
12.941175999999999,2050,38.0,13.333332999999998,0.68,safe
14.901960999999998,2058,38.0,13.725489999999999,0.68,safe
14.901960999999998,2039,38.0,13.725489999999999,0.68,safe
14.901960999999998,2064,38.0,13.333332999999998,0.68,safe
13.725489999999999,2062,38.0,12.941175999999999,0.685,safe
13.725489999999999,2065,38.0,13.333332999999998,0.685,safe
14.901960999999998,2061,39.0,12.941175999999999,0.685,safe
14.901960999999998,2074,39.0,12.54902,0.685,safe
12.941175999999999,2064,39.0,11.764706,0.685,safe
11.764706,2040,39.0,11.764706,0.69,safe
12.941175999999999,2041,39.0,12.156863000000001,0.69,safe
12.941175999999999,2023,39.0,11.764706,0.69,safe
13.725489999999999,2031,39.0,12.941175999999999,0.69,safe
13.725489999999999,2038,39.0,12.54902,0.695,safe
13.725489999999999,2039,39.0,12.941175999999999,0.695,safe
13.725489999999999,2048,39.0,12.54902,0.695,safe
13.725489999999999,2060,39.0,12.941175999999999,0.695,safe
13.725489999999999,2063,39.0,12.54902,0.695,safe
12.941175999999999,2055,39.0,11.764706,0.695,safe
12.941175999999999,2044,39.0,11.764706,0.695,safe
12.941175999999999,2037,39.0,11.764706,0.7,safe
12.941175999999999,2020,39.0,11.764706,0.7,safe
12.941175999999999,2012,39.0,11.764706,0.7,safe
11.764706,2012,39.0,12.156863000000001,0.7,safe
13.725489999999999,2006,39.0,12.54902,0.705,safe
12.941175999999999,2006,39.0,12.54902,0.705,safe
13.725489999999999,1996,39.0,12.54902,0.705,safe
13.725489999999999,1996,39.0,12.54902,0.705,safe
13.725489999999999,2011,39.0,12.941175999999999,0.705,safe
13.725489999999999,2015,39.0,12.941175999999999,0.705,safe
13.725489999999999,2027,39.0,12.941175999999999,0.71,safe
14.901960999999998,2046,39.0,12.54902,0.71,safe
13.725489999999999,2041,39.0,3.1372549,0.71,safe
3.9215686,1958,39.0,3.9215686,0.71,safe
10.980392,1879,39.0,14.117647,0.715,safe
16.862745,1918,39.0,15.686275,0.72,safe
17.647059,1952,39.0,16.470588,0.73,safe
18.823529,2016,39.0,16.470588,0.73,safe
20.0,2077,39.0,17.647059,0.73,safe
20.0,2134,39.0,17.647059,0.73,safe
20.784314000000002,2196,39.0,18.039216,0.73,safe
20.784314000000002,2254,39.0,18.039216,0.73,safe
20.784314000000002,2307,39.0,18.039216,0.73,safe
20.784314000000002,2357,39.0,18.039216,0.73,safe
21.960784,2421,39.0,17.647059,0.725,safe
21.960784,2388,39.0,3.1372549,0.72,safe
5.8823529,1227,38.0,13.725489999999999,0.725,safe
15.686275,1784,39.0,15.294118,0.725,safe
16.862745,1818,39.0,15.686275,0.725,safe
16.862745,1840,39.0,15.686275,0.73,safe
16.862745,1865,39.0,16.470588,0.73,safe
17.647059,1897,39.0,15.686275,0.73,safe
17.647059,1917,39.0,15.686275,0.735,safe
17.647059,1930,39.0,16.078431,0.735,safe
17.647059,1960,39.0,15.686275,0.735,safe
17.647059,1991,39.0,15.294118,0.735,safe
17.647059,2000,38.0,15.294118,0.735,safe
17.647059,2015,39.0,15.294118,0.735,safe
17.647059,2032,38.0,14.901960999999998,0.74,safe
17.647059,2041,38.0,15.294118,0.74,safe
17.647059,2048,38.0,15.294118,0.74,safe
17.647059,2067,38.0,14.901960999999998,0.74,safe
14.901960999999998,2066,38.0,12.941175999999999,0.74,safe
13.725489999999999,2066,38.0,13.725489999999999,0.74,safe
14.901960999999998,2073,38.0,13.725489999999999,0.74,safe
14.901960999999998,2071,38.0,13.725489999999999,0.74,safe
15.686275,2066,38.0,14.117647,0.745,safe
15.686275,2082,38.0,13.725489999999999,0.745,safe
15.686275,2079,38.0,13.333332999999998,0.745,safe
14.901960999999998,2082,38.0,13.333332999999998,0.745,safe
14.901960999999998,2080,38.0,12.941175999999999,0.745,safe
13.725489999999999,2077,38.0,12.941175999999999,0.745,safe
13.725489999999999,2082,38.0,12.941175999999999,0.745,safe
13.725489999999999,2083,38.0,12.941175999999999,0.75,safe
13.725489999999999,2083,39.0,12.941175999999999,0.75,safe
13.725489999999999,2090,38.0,12.941175999999999,0.75,safe
12.941175999999999,2099,38.0,10.588235000000001,0.75,safe
9.8039216,2099,38.0,9.411764699999999,0.75,safe
9.8039216,2102,38.0,9.411764699999999,0.75,safe
9.8039216,2086,38.0,9.411764699999999,0.755,safe
10.980392,2084,38.0,10.588235000000001,0.755,safe
10.980392,2080,38.0,10.980392,0.755,safe
11.764706,2078,39.0,11.372549000000001,0.755,safe
12.941175999999999,2069,39.0,12.156863000000001,0.755,safe
12.941175999999999,2063,39.0,12.156863000000001,0.76,safe
12.941175999999999,2046,39.0,12.156863000000001,0.76,safe
12.941175999999999,2046,39.0,12.156863000000001,0.76,safe
13.725489999999999,2037,39.0,12.54902,0.76,safe
12.941175999999999,2031,39.0,12.156863000000001,0.76,safe
12.941175999999999,2033,39.0,11.764706,0.76,safe
12.941175999999999,2021,39.0,4.7058824,0.765,safe
4.7058824,1987,38.0,3.9215686,0.765,safe
3.9215686,1931,38.0,3.9215686,0.76,safe
3.9215686,1867,38.0,4.7058824,0.765,safe
4.7058824,1817,38.0,4.7058824,0.765,safe
7.8431372999999995,1761,38.0,7.0588235,0.765,safe
5.8823529,1706,38.0,7.0588235,0.765,safe
7.8431372999999995,1664,39.0,9.019607800000001,0.77,safe
9.8039216,1652,39.0,10.980392,0.775,safe
10.980392,1655,39.0,11.764706,0.78,safe
11.764706,1660,39.0,11.764706,0.78,safe
11.764706,1660,39.0,12.156863000000001,0.78,safe
12.941175999999999,1674,39.0,11.764706,0.785,safe
12.941175999999999,1681,39.0,11.764706,0.785,safe
11.764706,1670,39.0,10.980392,0.785,safe
11.764706,1685,39.0,10.980392,0.785,safe
11.764706,1687,39.0,10.196078,0.78,safe
10.980392,1670,39.0,7.0588235,0.785,safe
6.6666667,1637,38.0,6.6666667,0.785,safe
6.6666667,1524,38.0,5.0980392,0.785,safe
3.9215686,974,39.0,5.8823529,0.785,safe
5.8823529,1824,39.0,11.372549000000001,0.785,safe
10.980392,1793,39.0,10.980392,0.785,safe
10.980392,1799,39.0,11.764706,0.785,safe
11.764706,1813,39.0,6.6666667,0.785,safe
4.7058824,1772,38.0,4.313725499999999,0.785,safe
4.7058824,1705,38.0,6.2745098,0.785,safe
5.8823529,1514,38.0,6.6666667,0.79,safe
5.8823529,1287,38.0,5.0980392,0.79,safe
4.7058824,869,39.0,6.2745098,0.79,safe
5.8823529,1016,39.0,7.0588235,0.79,safe
5.8823529,1011,39.0,6.6666667,0.79,safe
5.8823529,1001,39.0,6.6666667,0.79,safe
6.6666667,1009,39.0,7.450980400000001,0.795,safe
6.6666667,1014,39.0,7.450980400000001,0.795,safe
6.6666667,1007,39.0,7.450980400000001,0.795,safe
6.6666667,1014,39.0,7.0588235,0.795,safe
6.6666667,1012,39.0,7.0588235,0.795,safe
6.6666667,1010,39.0,7.0588235,0.8,safe
6.6666667,1017,39.0,7.450980400000001,0.795,safe
6.6666667,1009,39.0,7.0588235,0.795,safe
5.8823529,1011,39.0,7.0588235,0.8,safe
5.8823529,1006,39.0,7.0588235,0.795,safe
5.8823529,998,39.0,6.6666667,0.795,safe
5.8823529,1004,39.0,6.6666667,0.8,safe
5.8823529,1002,39.0,6.6666667,0.8,safe
5.8823529,1002,39.0,6.6666667,0.795,safe
5.8823529,1002,39.0,6.6666667,0.795,safe
5.8823529,992,39.0,6.6666667,0.8,safe
5.8823529,1003,39.0,7.0588235,0.8,safe
5.8823529,994,39.0,7.0588235,0.795,safe
5.8823529,996,39.0,6.6666667,0.795,safe
5.8823529,1007,39.0,6.6666667,0.795,safe
5.8823529,1003,39.0,7.0588235,0.795,safe
5.8823529,995,39.0,6.6666667,0.795,safe
5.8823529,998,39.0,6.6666667,0.795,safe
5.8823529,1005,39.0,6.6666667,0.795,safe
5.8823529,1003,39.0,6.6666667,0.795,safe
5.8823529,1005,39.0,6.6666667,0.795,safe
5.8823529,996,39.0,6.6666667,0.79,safe
5.8823529,991,39.0,6.6666667,0.795,safe
5.8823529,998,39.0,6.6666667,0.795,safe
5.8823529,997,39.0,6.6666667,0.785,safe
5.8823529,1001,39.0,6.6666667,0.79,safe
5.8823529,998,39.0,6.6666667,0.79,safe
5.8823529,1007,39.0,7.0588235,0.785,safe
5.8823529,1006,39.0,6.6666667,0.79,safe
5.8823529,998,39.0,7.0588235,0.79,safe
5.8823529,1000,39.0,6.6666667,0.785,safe
5.8823529,1000,39.0,6.6666667,0.785,safe
5.8823529,998,39.0,6.6666667,0.785,safe
5.8823529,1003,39.0,6.6666667,0.785,safe
5.8823529,1001,39.0,6.6666667,0.78,safe
5.8823529,1006,39.0,6.6666667,0.785,safe
5.8823529,1005,39.0,6.6666667,0.785,safe
5.8823529,998,39.0,6.6666667,0.785,safe
5.8823529,998,39.0,6.6666667,0.785,safe
5.8823529,1010,39.0,12.941175999999999,0.785,safe
11.764706,1381,39.0,12.54902,0.78,safe
9.8039216,1365,39.0,13.333332999999998,0.78,safe
14.901960999999998,1953,39.0,16.862745,0.795,safe
8.627450999999999,2002,39.0,10.196078,0.79,safe
12.941175999999999,1359,39.0,17.254901999999998,0.795,safe
14.901960999999998,1604,40.0,16.470588,0.79,safe
17.647059,1918,40.0,17.254901999999998,0.79,safe
20.784314000000002,2198,40.0,16.862745,0.79,safe
10.980392,1960,39.0,9.411764699999999,0.79,safe
16.862745,1595,40.0,17.254901999999998,0.79,safe
16.862745,1739,40.0,15.294118,0.79,safe
16.862745,1852,40.0,14.509804,0.785,safe
16.862745,1953,40.0,14.509804,0.79,safe
16.862745,2043,40.0,16.078431,0.785,safe
17.647059,2161,40.0,16.078431,0.79,safe
18.823529,2253,40.0,16.862745,0.785,safe
20.0,2364,40.0,4.7058824,0.79,safe
3.9215686,1565,40.0,13.725489999999999,0.815,safe
14.901960999999998,1773,40.0,13.333332999999998,0.805,safe
13.725489999999999,1822,40.0,13.333332999999998,0.805,safe
13.725489999999999,1855,40.0,13.333332999999998,0.805,safe
14.901960999999998,1908,40.0,13.333332999999998,0.8,safe
14.901960999999998,1950,40.0,12.941175999999999,0.8,safe
13.725489999999999,1969,40.0,12.941175999999999,0.805,safe
11.764706,1991,40.0,9.8039216,0.8,safe
9.8039216,1984,40.0,10.196078,0.8,safe
10.980392,1988,40.0,10.196078,0.8,safe
10.980392,1979,40.0,11.372549000000001,0.8,safe
11.764706,1985,40.0,11.372549000000001,0.8,safe
11.764706,1987,41.0,11.372549000000001,0.8,safe
12.941175999999999,2003,41.0,13.333332999999998,0.8,safe
15.686275,2028,41.0,13.333332999999998,0.8,safe
15.686275,2072,41.0,13.333332999999998,0.795,safe
14.901960999999998,2103,41.0,13.333332999999998,0.795,safe
14.901960999999998,2131,41.0,12.941175999999999,0.795,safe
14.901960999999998,2151,41.0,13.725489999999999,0.795,safe
15.686275,2184,41.0,13.725489999999999,0.79,safe
15.686275,2216,41.0,16.470588,0.79,safe
18.823529,2247,41.0,16.078431,0.79,safe
17.647059,2282,41.0,15.294118,0.79,safe
16.862745,2314,41.0,15.294118,0.79,safe
17.647059,2345,41.0,13.725489999999999,0.79,safe
14.901960999999998,2362,41.0,5.0980392,0.785,safe
