Engine Load(%),Engine RPM(rpm),Vehicle speed(km/h),Intake air temp(C),Abs throttle position(%),beahavior
8.627450999999999,1726,36,31.0,7.8431372999999995,safe
6.6666667,1706,35,31.0,7.450980400000001,safe
6.6666667,1576,32,31.0,7.0588235,safe
5.8823529,1435,29,32.0,7.0588235,safe
5.8823529,1328,27,32.0,6.2745098,safe
4.7058824,1220,25,32.0,5.8823529,safe
4.7058824,1062,21,32.0,5.8823529,safe
4.7058824,909,16,32.0,4.7058824,safe
3.9215686,930,11,32.0,4.7058824,safe
3.9215686,834,9,32.0,6.6666667,safe
5.8823529,927,8,32.0,7.0588235,safe
5.8823529,799,9,32.0,5.4901960999999995,safe
4.7058824,922,10,32.0,5.8823529,safe
4.7058824,923,10,32.0,6.6666667,safe
4.7058824,918,10,32.0,7.450980400000001,safe
5.8823529,1012,9,32.0,7.450980400000001,safe
6.6666667,1010,6,32.0,7.450980400000001,safe
5.8823529,1017,4,32.0,7.0588235,safe
5.8823529,1012,3,32.0,7.0588235,safe
5.8823529,1006,2,32.0,7.0588235,safe
7.8431372999999995,984,4,32.0,13.333332999999998,safe
10.980392,1541,8,32.0,12.54902,safe
7.8431372999999995,1902,11,32.0,8.627450999999999,safe
9.8039216,1191,11,32.0,22.745098000000002,safe
15.686275,1351,15,32.0,16.470588,safe
15.686275,1655,17,32.0,9.019607800000001,safe
7.8431372999999995,1616,17,32.0,12.54902,safe
11.764706,1580,16,32.0,16.862745,safe
16.862745,1765,19,32.0,17.647059,safe
20.0,2077,22,32.0,12.941175999999999,safe
9.8039216,1909,23,32.0,16.078431,safe
16.862745,1534,24,32.0,18.039216,safe
17.647059,1651,26,32.0,15.686275,safe
15.686275,1762,28,32.0,5.8823529,safe
5.8823529,1759,27,32.0,7.0588235,safe
6.6666667,1648,26,32.0,7.8431372999999995,safe
6.6666667,1476,23,32.0,7.0588235,safe
5.8823529,1268,19,32.0,6.2745098,safe
7.8431372999999995,1194,18,32.0,17.254901999999998,safe
14.901960999999998,1276,19,33.0,22.745098000000002,safe
16.862745,1403,22,33.0,19.607843,safe
17.647059,1565,25,33.0,19.215685999999998,safe
18.823529,1721,27,33.0,18.431373,safe
18.823529,1884,30,33.0,14.117647,safe
14.901960999999998,1957,31,32.0,3.5294117999999997,safe
3.9215686,1919,30,32.0,4.313725499999999,safe
3.9215686,1813,28,32.0,5.0980392,safe
3.9215686,1659,26,32.0,7.450980400000001,safe
5.8823529,1420,22,32.0,6.2745098,safe
4.7058824,1108,18,32.0,6.6666667,safe
5.8823529,1002,13,32.0,7.0588235,safe
5.8823529,999,10,33.0,7.0588235,safe
5.8823529,1000,6,33.0,7.0588235,safe
5.8823529,1018,2,33.0,7.8431372999999995,safe
6.6666667,1012,1,33.0,7.8431372999999995,safe
11.764706,1048,6,34.0,17.647059,safe
18.823529,1861,11,34.0,18.039216,safe
15.686275,2167,13,34.0,12.54902,safe
12.941175999999999,1143,13,34.0,29.019608,safe
16.862745,1430,15,34.0,28.235294,safe
20.784314000000002,1689,18,34.0,25.882353,safe
22.745098000000002,1866,20,34.0,21.176471,safe
21.960784,2062,22,34.0,8.627450999999999,safe
8.627450999999999,1897,21,34.0,19.607843,safe
15.686275,1377,21,34.0,20.392157,safe
16.862745,1478,23,34.0,10.196078,safe
10.980392,1556,24,34.0,9.8039216,safe
8.627450999999999,1576,24,34.0,10.588235000000001,safe
9.8039216,1657,26,34.0,13.333332999999998,safe
12.941175999999999,1753,28,34.0,14.509804,safe
14.901960999999998,1881,29,34.0,15.294118,safe
16.862745,1985,31,34.0,16.470588,safe
18.823529,2116,33,34.0,16.862745,safe
18.823529,2242,35,34.0,10.980392,safe
6.6666667,1899,36,34.0,14.117647,safe
13.725489999999999,1784,36,34.0,17.647059,safe
17.647059,1821,37,34.0,17.254901999999998,safe
17.647059,1889,39,34.0,15.686275,safe
15.686275,1944,40,34.0,15.294118,safe
16.862745,1974,41,34.0,14.509804,safe
15.686275,2028,42,34.0,14.901960999999998,safe
16.862745,2062,42,35.0,16.078431,safe
17.647059,2113,43,35.0,14.901960999999998,safe
14.901960999999998,2158,44,35.0,13.333332999999998,safe
13.725489999999999,2206,46,35.0,12.941175999999999,safe
12.941175999999999,2243,46,35.0,12.54902,safe
12.941175999999999,2262,47,35.0,11.764706,safe
11.764706,2285,47,35.0,11.372549000000001,safe
11.764706,2288,47,35.0,11.764706,safe
11.764706,2344,48,35.0,10.980392,safe
9.8039216,2283,47,35.0,8.235294099999999,safe
7.8431372999999995,2261,46,35.0,9.8039216,safe
10.980392,2229,46,35.0,13.333332999999998,safe
13.725489999999999,2234,46,35.0,13.725489999999999,safe
13.725489999999999,2256,47,35.0,13.333332999999998,safe
13.725489999999999,2265,47,35.0,13.333332999999998,safe
13.725489999999999,2286,47,35.0,12.54902,safe
12.941175999999999,2286,47,35.0,6.6666667,safe
5.8823529,2228,46,35.0,9.019607800000001,safe
7.8431372999999995,2178,45,35.0,12.941175999999999,safe
12.941175999999999,2173,44,35.0,13.725489999999999,safe
13.725489999999999,2176,45,35.0,13.725489999999999,safe
14.901960999999998,2198,45,35.0,14.117647,safe
14.901960999999998,2218,46,35.0,13.725489999999999,safe
14.901960999999998,2239,46,35.0,13.725489999999999,safe
13.725489999999999,2273,47,35.0,12.156863000000001,safe
12.941175999999999,2281,47,35.0,12.156863000000001,safe
12.941175999999999,2291,47,35.0,11.764706,safe
11.764706,2316,48,35.0,11.764706,safe
11.764706,2327,48,35.0,12.156863000000001,safe
11.764706,2334,48,35.0,11.764706,safe
11.764706,2344,48,35.0,10.980392,safe
10.980392,2354,49,35.0,9.019607800000001,safe
4.7058824,1805,48,35.0,12.156863000000001,safe
10.980392,1679,47,35.0,14.117647,safe
13.725489999999999,1751,47,36.0,15.294118,safe
15.686275,1773,48,36.0,14.901960999999998,safe
15.686275,1788,49,36.0,14.509804,safe
15.686275,1808,50,36.0,14.117647,safe
14.901960999999998,1825,50,36.0,10.980392,safe
10.980392,1824,50,35.0,10.980392,safe
10.980392,1822,50,35.0,11.764706,safe
11.764706,1807,50,35.0,11.764706,safe
11.764706,1796,49,35.0,12.54902,safe
12.941175999999999,1795,49,36.0,12.54902,safe
12.941175999999999,1802,49,36.0,12.941175999999999,safe
12.941175999999999,1809,49,36.0,12.941175999999999,safe
12.941175999999999,1800,49,36.0,12.941175999999999,safe
12.941175999999999,1806,50,36.0,12.941175999999999,safe
12.941175999999999,1795,49,36.0,3.5294117999999997,safe
4.7058824,1791,49,35.0,4.7058824,safe
6.6666667,2330,48,35.0,9.019607800000001,safe
8.627450999999999,2241,46,35.0,11.372549000000001,safe
10.980392,2210,46,35.0,10.980392,safe
10.980392,2166,45,35.0,10.980392,safe
10.980392,2173,45,36.0,10.980392,safe
10.980392,2207,46,36.0,16.862745,safe
12.941175999999999,2203,46,36.0,13.333332999999998,safe
13.725489999999999,2230,46,36.0,14.509804,safe
15.686275,2259,47,36.0,14.117647,safe
15.686275,2301,48,36.0,14.509804,safe
15.686275,2327,48,36.0,14.509804,safe
15.686275,2357,49,36.0,14.117647,safe
15.686275,2380,49,36.0,14.509804,safe
15.686275,2401,50,36.0,14.117647,safe
15.686275,2440,50,36.0,14.509804,safe
15.686275,2452,50,36.0,14.117647,safe
15.686275,2473,51,36.0,14.509804,safe
16.862745,2490,51,36.0,14.117647,safe
16.862745,2508,52,36.0,13.333332999999998,safe
14.901960999999998,2541,53,36.0,10.196078,safe
10.980392,2561,52,36.0,10.588235000000001,safe
10.980392,2547,53,36.0,3.1372549,safe
2.745098,1573,52,36.0,7.450980400000001,safe
7.8431372999999995,1853,50,36.0,10.980392,safe
9.8039216,1854,51,36.0,5.4901960999999995,safe
3.9215686,1816,50,36.0,2.745098,safe
2.745098,1749,48,36.0,5.8823529,safe
5.8823529,1605,44,36.0,7.450980400000001,safe
5.8823529,1491,41,36.0,7.0588235,safe
4.7058824,1130,39,36.0,10.196078,safe
12.941175999999999,1872,37,36.0,16.470588,safe
17.647059,1887,39,36.0,16.862745,safe
17.647059,1943,40,36.0,16.470588,safe
18.823529,2013,41,36.0,18.039216,safe
20.0,2080,43,36.0,18.431373,safe
20.784314000000002,2138,44,36.0,18.039216,safe
20.784314000000002,2191,45,36.0,18.431373,safe
20.784314000000002,2242,46,36.0,18.431373,safe
20.784314000000002,2309,48,36.0,18.431373,safe
21.960784,2358,49,36.0,18.431373,safe
21.960784,2399,49,36.0,18.039216,safe
21.960784,2439,50,36.0,2.3529412,safe
2.745098,1520,49,35.0,14.117647,safe
14.901960999999998,1807,49,36.0,14.509804,safe
14.901960999999998,1827,50,36.0,14.509804,safe
14.901960999999998,1848,51,36.0,14.117647,safe
14.901960999999998,1871,51,36.0,13.333332999999998,safe
13.725489999999999,1894,52,36.0,12.54902,safe
12.941175999999999,1894,52,36.0,12.156863000000001,safe
11.764706,1884,51,36.0,12.156863000000001,safe
11.764706,1925,53,36.0,12.941175999999999,safe
13.725489999999999,1927,53,36.0,13.725489999999999,safe
14.901960999999998,1935,53,36.0,13.725489999999999,safe
14.901960999999998,1943,53,36.0,14.117647,safe
14.901960999999998,1952,54,36.0,14.509804,safe
15.686275,1960,54,36.0,14.509804,safe
15.686275,1962,54,36.0,13.725489999999999,safe
14.901960999999998,1969,54,36.0,11.372549000000001,safe
11.764706,1965,54,36.0,5.4901960999999995,safe
4.7058824,1904,52,36.0,5.0980392,safe
4.7058824,1871,51,36.0,5.0980392,safe
4.7058824,1826,50,36.0,5.0980392,safe
4.7058824,1767,48,36.0,5.0980392,safe
4.7058824,1722,47,36.0,3.1372549,safe
2.745098,1609,44,36.0,3.1372549,safe
3.9215686,1510,41,36.0,4.313725499999999,safe
3.9215686,1404,38,36.0,4.313725499999999,safe
2.745098,1271,35,36.0,4.313725499999999,safe
2.745098,1158,31,36.0,3.9215686,safe
2.745098,1031,28,36.0,3.1372549,safe
1.9607843,840,24,36.0,4.313725499999999,safe
2.745098,826,20,36.0,5.4901960999999995,safe
3.9215686,820,16,36.0,5.4901960999999995,safe
4.7058824,925,11,36.0,6.2745098,safe
4.7058824,989,7,36.0,6.6666667,safe
5.8823529,1001,4,36.0,6.6666667,safe
5.8823529,1004,1,36.0,6.6666667,safe
8.627450999999999,944,6,36.0,14.901960999999998,safe
13.725489999999999,1911,11,36.0,3.5294117999999997,safe
3.9215686,1661,11,36.0,21.960784,safe
12.941175999999999,1206,13,36.0,19.215685999999998,safe
16.862745,1531,16,36.0,17.254901999999998,safe
17.647059,1818,19,36.0,16.470588,safe
18.823529,2077,22,36.0,8.235294099999999,safe
7.8431372999999995,1798,22,36.0,18.431373,safe
15.686275,1432,23,36.0,19.607843,safe
16.862745,1568,24,36.0,18.823529,safe
18.823529,1689,26,36.0,19.215685999999998,safe
18.823529,1840,29,36.0,18.039216,safe
18.823529,1984,31,36.0,17.647059,safe
20.0,2110,33,36.0,17.647059,safe
20.0,2219,35,36.0,18.431373,safe
20.784314000000002,2334,37,36.0,17.254901999999998,safe
13.725489999999999,2176,37,36.0,10.980392,safe
11.764706,1800,37,36.0,14.509804,safe
14.901960999999998,1805,37,36.0,15.294118,safe
15.686275,1851,38,36.0,15.686275,safe
16.862745,1893,39,36.0,15.294118,safe
16.862745,1950,40,36.0,15.686275,safe
16.862745,1989,41,36.0,13.333332999999998,safe
13.725489999999999,2047,42,36.0,12.941175999999999,safe
13.725489999999999,2080,43,36.0,11.764706,safe
11.764706,2111,44,36.0,10.588235000000001,safe
10.980392,2126,44,36.0,9.8039216,safe
9.8039216,2138,44,36.0,9.8039216,safe
9.8039216,2140,44,36.0,10.980392,safe
10.980392,2156,44,36.0,12.156863000000001,safe
11.764706,2153,44,36.0,12.54902,safe
12.941175999999999,2153,45,36.0,13.333332999999998,safe
13.725489999999999,2159,45,36.0,13.725489999999999,safe
14.901960999999998,2159,45,36.0,13.725489999999999,safe
13.725489999999999,2182,45,36.0,13.725489999999999,safe
14.901960999999998,2208,46,36.0,13.333332999999998,safe
13.725489999999999,2205,45,36.0,9.411764699999999,safe
8.627450999999999,2178,45,36.0,9.019607800000001,safe
9.8039216,2147,44,36.0,12.54902,safe
12.941175999999999,2145,44,36.0,12.941175999999999,safe
13.725489999999999,2156,44,36.0,13.333332999999998,safe
13.725489999999999,2168,45,36.0,13.333332999999998,safe
13.725489999999999,2188,45,36.0,13.333332999999998,safe
13.725489999999999,2196,45,36.0,13.725489999999999,safe
14.901960999999998,2206,45,36.0,12.54902,safe
12.941175999999999,2228,46,36.0,8.235294099999999,safe
5.8823529,2239,46,36.0,10.588235000000001,safe
10.980392,2204,46,36.0,10.196078,safe
9.8039216,2220,46,36.0,9.8039216,safe
9.8039216,2219,46,36.0,9.8039216,safe
9.8039216,2229,46,36.0,9.8039216,safe
9.8039216,2224,46,36.0,8.627450999999999,safe
8.627450999999999,2204,46,36.0,10.980392,safe
10.980392,2194,45,36.0,12.156863000000001,safe
11.764706,2162,45,37.0,11.764706,safe
11.764706,2170,45,37.0,11.764706,safe
11.764706,2148,44,37.0,11.764706,safe
11.764706,2140,44,37.0,11.372549000000001,safe
11.764706,2146,44,37.0,11.372549000000001,safe
11.764706,2137,44,37.0,3.9215686,safe
9.8039216,2070,43,36.0,12.941175999999999,safe
12.941175999999999,2078,43,37.0,12.941175999999999,safe
13.725489999999999,2080,43,37.0,12.941175999999999,safe
13.725489999999999,2092,43,37.0,11.764706,safe
11.764706,2083,43,37.0,5.0980392,safe
5.8823529,2051,42,36.0,8.627450999999999,safe
7.8431372999999995,2042,41,36.0,9.411764699999999,safe
8.627450999999999,1993,41,36.0,9.411764699999999,safe
8.627450999999999,1987,41,37.0,9.019607800000001,safe
8.627450999999999,1992,41,37.0,2.3529412,safe
2.745098,1948,40,36.0,3.1372549,safe
2.745098,1898,39,36.0,7.8431372999999995,safe
4.7058824,1843,38,36.0,3.1372549,safe
2.745098,1770,37,36.0,3.1372549,safe
2.745098,1680,34,36.0,5.8823529,safe
6.6666667,1547,32,37.0,7.450980400000001,safe
5.8823529,1362,29,37.0,6.6666667,safe
4.7058824,1088,27,37.0,6.2745098,safe
6.6666667,1527,24,37.0,7.450980400000001,safe
4.7058824,1064,20,37.0,6.2745098,safe
4.7058824,980,18,37.0,5.8823529,safe
5.8823529,1407,15,37.0,6.6666667,safe
4.7058824,1178,12,37.0,9.411764699999999,safe
8.627450999999999,1211,13,37.0,13.725489999999999,safe
11.764706,1398,15,37.0,12.941175999999999,safe
12.941175999999999,1604,17,37.0,14.509804,safe
14.901960999999998,1765,19,37.0,16.078431,safe
17.647059,2019,21,37.0,17.647059,safe
20.784314000000002,2254,24,37.0,17.647059,safe
17.647059,2306,25,37.0,7.8431372999999995,safe
13.725489999999999,1634,25,37.0,20.784314000000002,safe
18.823529,1694,26,37.0,20.0,safe
20.0,1843,29,37.0,18.431373,safe
20.0,2013,32,37.0,18.039216,safe
20.0,2184,35,37.0,18.431373,safe
21.960784,2347,37,37.0,18.431373,safe
21.960784,2465,39,37.0,14.117647,safe
6.6666667,2343,40,36.0,9.411764699999999,safe
9.8039216,1921,39,36.0,12.941175999999999,safe
12.941175999999999,1927,40,36.0,13.333332999999998,safe
13.725489999999999,1966,41,37.0,13.333332999999998,safe
13.725489999999999,2018,41,37.0,13.333332999999998,safe
13.725489999999999,2042,42,37.0,12.941175999999999,safe
12.941175999999999,2067,43,37.0,12.54902,safe
12.941175999999999,2084,43,37.0,12.156863000000001,safe
12.941175999999999,2105,43,37.0,12.941175999999999,safe
13.725489999999999,2103,43,37.0,12.941175999999999,safe
13.725489999999999,2119,44,37.0,12.54902,safe
12.941175999999999,2126,44,37.0,12.941175999999999,safe
12.941175999999999,2137,44,37.0,12.54902,safe
12.941175999999999,2150,45,37.0,12.941175999999999,safe
12.941175999999999,2164,45,37.0,9.411764699999999,safe
9.8039216,2146,44,37.0,9.411764699999999,safe
9.8039216,2127,44,37.0,10.196078,safe
