data0x03,data0x04,data0x05,data0x06,data0x07,data0x0b,data0x0c,data0x0d,data0x0e,data0x0f,data0x11,data0x14,extra0x14,data0x015,beahavior
2,2.745098,79,25.78125,99.21875,38,828,8,-52.5,34.0,3.1372549,0.905,15.625,0.765,safe
2,2.745098,79,9.375,99.21875,40,892,5,-49.0,34.0,11.372549000000001,0.64,-3.90625,0.77,safe
2,13.725489999999999,79,22.65625,91.40625,36,1829,11,-51.5,34.0,14.901960999999998,0.95,-0.78125,0.775,safe
2,12.941175999999999,80,10.15625,14.0625,79,1582,17,-47.0,34.0,14.901960999999998,0.09,20.3125,0.77,safe
2,17.647059,80,3.90625,90.625,37,1881,22,-51.5,34.0,12.941175999999999,0.955,-2.34375,0.765,safe
2,10.980392,80,6.25,-14.84375,65,1538,24,-44.5,34.0,11.764706,0.78,11.71875,0.76,safe
2,10.980392,80,13.28125,75.0,50,1731,27,-31.0,34.0,7.8431372999999995,0.635,-12.5,0.76,safe
2,5.8823529,81,11.71875,92.96875,34,1724,27,-23.5,34.0,6.2745098,0.885,-17.96875,0.76,safe
2,5.8823529,81,-32.03125,96.875,34,1682,26,-25.0,34.0,6.6666667,0.13,-28.125,0.76,safe
2,5.8823529,81,-25.78125,96.875,34,1665,26,-24.5,34.0,6.2745098,0.825,-47.65625,0.76,safe
2,5.8823529,81,-43.75,95.3125,31,1643,26,-43.0,34.0,4.7058824,0.09,-21.09375,0.76,safe
2,4.7058824,81,3.125,99.21875,28,1524,23,54.5,34.0,3.9215686,0.105,39.84375,0.76,safe
2,3.9215686,81,39.0625,99.21875,29,1235,19,-55.0,34.0,8.627450999999999,0.94,38.28125,0.78,safe
2,7.8431372999999995,81,26.5625,46.875,54,1425,22,-36.5,34.0,8.235294099999999,0.87,6.25,0.785,safe
2,7.8431372999999995,81,-7.8125,99.21875,43,1619,25,-27.5,34.0,6.6666667,0.415,3.90625,0.79,safe
2,4.7058824,81,-6.25,92.96875,26,1663,26,-20.5,34.0,4.313725499999999,0.925,-6.25,0.8,safe
2,3.9215686,81,-18.75,92.1875,26,1681,26,-20.5,34.0,4.7058824,0.815,-39.84375,0.81,safe
2,5.8823529,81,-35.9375,94.53125,31,1686,26,-22.5,34.0,5.0980392,0.85,-25.78125,0.815,safe
2,4.7058824,80,-39.0625,92.96875,32,1675,26,-23.0,34.0,5.8823529,0.095,-26.5625,0.815,safe
2,5.8823529,80,-22.65625,90.625,30,1710,27,-22.0,34.0,5.4901960999999995,0.16,-12.5,0.81,safe
2,5.8823529,79,-25.0,91.40625,30,1713,27,-21.5,34.0,6.2745098,0.115,-18.75,0.81,safe
2,5.8823529,79,-26.5625,92.96875,32,1681,26,-32.5,34.0,6.2745098,0.885,-17.96875,0.81,safe
2,5.8823529,79,-32.03125,98.4375,37,1647,26,-28.0,34.0,6.6666667,0.635,-54.6875,0.815,safe
2,7.8431372999999995,79,-32.03125,98.4375,32,1681,26,-21.0,34.0,2.745098,0.08,8.59375,0.815,safe
2,4.7058824,79,17.96875,99.21875,26,1473,23,56.5,34.0,3.9215686,0.07,36.71875,0.815,safe
2,3.9215686,79,41.40625,99.21875,31,1216,19,-49.0,34.0,6.2745098,0.935,35.9375,0.83,safe
2,6.6666667,79,25.78125,-28.90625,61,1320,20,-43.0,35.0,10.196078,0.885,30.46875,0.84,safe
2,8.627450999999999,79,17.1875,82.8125,49,1563,24,-27.0,34.0,7.450980400000001,0.895,-5.46875,0.85,safe
2,7.8431372999999995,79,-21.09375,99.21875,38,1664,26,-26.5,34.0,7.8431372999999995,0.39,-35.15625,0.845,safe
2,6.6666667,79,-21.09375,97.65625,37,1718,27,-26.5,34.0,7.0588235,0.28,-43.75,0.835,safe
2,6.6666667,79,-25.0,98.4375,38,1788,28,-27.0,34.0,6.6666667,0.22,-49.21875,0.83,safe
2,6.6666667,79,-19.53125,89.0625,33,1801,28,-23.5,34.0,5.8823529,0.795,-34.375,0.825,safe
2,5.8823529,79,-14.0625,89.84375,33,1746,27,-26.0,34.0,6.2745098,0.795,-35.9375,0.825,safe
2,5.8823529,79,-32.03125,92.96875,33,1708,26,-32.0,34.0,6.2745098,0.64,-0.78125,0.82,safe
2,5.8823529,79,-7.03125,96.09375,33,1655,26,-26.0,34.0,3.5294117999999997,0.775,11.71875,0.82,safe
2,6.6666667,79,-1.5625,99.21875,37,1559,24,-29.5,34.0,7.450980400000001,0.31,25.78125,0.815,safe
2,6.6666667,79,8.59375,99.21875,38,1572,25,-28.5,34.0,6.6666667,0.82,-13.28125,0.82,safe
2,5.8823529,80,-13.28125,99.21875,37,1531,24,-28.0,34.0,5.4901960999999995,0.32,-14.0625,0.815,safe
2,3.9215686,80,12.5,99.21875,29,1431,22,-28.5,34.0,4.7058824,0.87,11.71875,0.81,safe
2,3.9215686,80,0.78125,99.21875,32,1158,20,-50.5,34.0,4.313725499999999,0.105,12.5,0.815,safe
4,4.7058824,80,0.0,99.21875,33,1307,14,-26.5,34.0,6.6666667,0.655,6.25,0.815,safe
2,10.980392,80,-5.46875,-11.71875,62,1632,17,-41.0,35.0,11.764706,0.79,26.5625,0.81,safe
2,12.941175999999999,80,9.375,50.0,53,2043,22,-33.0,35.0,12.54902,0.105,0.0,0.81,safe
4,5.8823529,80,0.0,99.21875,44,1418,22,-36.0,34.0,9.411764699999999,0.1,0.78125,0.805,safe
2,8.627450999999999,80,12.5,99.21875,40,1542,24,-25.0,34.0,3.9215686,0.89,5.46875,0.805,safe
2,2.745098,80,-5.46875,99.21875,25,1462,23,-57.0,34.0,5.0980392,0.93,-4.6875,0.82,safe
2,3.9215686,81,3.90625,99.21875,32,1306,20,-34.0,34.0,8.627450999999999,0.82,7.8125,0.815,safe
2,7.8431372999999995,81,21.875,99.21875,38,1382,21,-25.5,34.0,5.4901960999999995,0.905,23.4375,0.815,safe
2,7.8431372999999995,81,11.71875,85.9375,50,1457,23,-32.5,34.0,7.0588235,0.2,2.34375,0.83,safe
2,5.8823529,81,-0.78125,99.21875,36,1532,24,-26.0,34.0,7.0588235,0.86,-2.34375,0.835,safe
2,6.6666667,81,-3.90625,99.21875,39,1597,25,-26.5,34.0,7.0588235,0.155,-2.34375,0.835,safe
2,6.6666667,81,4.6875,98.4375,36,1650,26,-26.0,34.0,7.0588235,0.115,8.59375,0.83,safe
2,6.6666667,81,0.0,99.21875,37,1672,26,-25.0,34.0,6.6666667,0.795,6.25,0.83,safe
2,4.7058824,81,4.6875,99.21875,26,1589,24,-49.5,34.0,5.0980392,0.19,10.9375,0.83,safe
2,4.7058824,81,25.0,99.21875,30,1369,21,51.5,34.0,4.313725499999999,0.09,38.28125,0.83,safe
2,3.9215686,81,28.125,99.21875,31,1125,17,61.0,35.0,7.450980400000001,0.915,25.0,0.845,safe
2,6.6666667,81,16.40625,-14.0625,58,1216,19,-38.5,35.0,7.450980400000001,0.84,34.375,0.84,safe
2,8.627450999999999,81,22.65625,13.28125,56,1408,22,-39.5,35.0,9.019607800000001,0.665,1.5625,0.845,safe
2,9.8039216,81,7.03125,80.46875,50,1642,25,-34.5,35.0,9.019607800000001,0.845,2.34375,0.845,safe
2,8.627450999999999,81,12.5,96.875,36,1746,27,-21.0,35.0,3.1372549,0.11,18.75,0.84,safe
